Pos,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Round
QB,74,225,4.58,35.5,,113.0,7.12,4.12,2
ILB,76,227,4.67,37.5,23.0,118.0,7.66,4.25,2
DT,76,299,4.98,,32.0,,,,8
WR,72,210,4.33,45.0,,134.0,,4.0,2
RB,71,193,4.46,,,,,,8
OG,75,303,5.25,,27.0,,,,8
OLB,74,238,4.77,40.0,24.0,119.0,7.34,4.21,5
WR,73,225,4.59,35.5,,121.0,,,8
CB,71,209,4.38,,,,,,1
CB,69,181,4.55,,11.0,,,,3
QB,76,238,5.22,29.5,,101.0,7.78,4.62,8
RB,72,193,4.42,35.0,8.0,120.0,6.96,4.07,7
FB,70,226,4.8,29.5,17.0,108.0,7.55,4.38,6
DE,77,272,4.95,35.5,24.0,114.0,7.12,4.21,6
S,72,222,4.45,41.5,,130.0,6.87,3.9,5
OG,78,305,5.34,,17.0,,,,8
CB,68,178,4.6,35.5,13.0,118.0,7.25,4.4,8
OLB,75,242,5.03,31.5,19.0,109.0,7.54,4.35,6
RB,71,225,4.76,37.0,15.0,115.0,7.36,4.32,8
TE,74,266,4.76,34.0,22.0,112.0,7.38,4.43,2
OG,77,318,5.53,24.5,17.0,91.0,8.84,5.06,8
WR,73,212,4.61,34.5,,118.0,,,8
OT,78,370,5.32,28.0,33.0,97.0,8.72,5.18,1
DT,76,302,5.1,27.5,23.0,99.0,7.98,4.87,7
OG,76,307,5.24,31.5,32.0,108.0,7.62,4.6,7
ILB,73,239,4.76,,,,,,7
OT,79,338,5.13,34.0,,102.0,7.5,4.46,4
S,73,213,4.63,37.0,17.0,117.0,7.38,,2
S,71,202,4.73,,,,7.07,4.12,6
OT,78,348,5.99,,16.0,,,,7
DT,75,302,5.23,,27.0,,,,3
OG,75,303,5.3,32.0,17.0,106.0,8.1,4.77,5
CB,71,192,4.55,31.5,,114.0,,,8
CB,70,179,4.4,,,119.0,,,2
CB,73,201,4.59,34.5,19.0,119.0,,,8
DT,75,293,4.86,,,,,,3
FB,72,246,4.56,34.5,30.0,111.0,7.3,4.24,3
DT,74,295,5.29,,,,,,5
WR,73,205,4.48,36.5,,120.0,7.24,4.07,2
OG,74,314,5.3,,17.0,,,,4
TE,76,262,5.09,33.5,15.0,103.0,7.95,4.59,7
CB,69,180,4.48,,,,,,1
WR,71,195,4.55,35.5,,114.0,6.98,3.96,8
OG,74,312,5.28,27.0,23.0,97.0,8.56,4.7,7
S,73,204,4.54,,20.0,,,,8
S,70,186,4.45,36.0,18.0,114.0,7.2,4.21,4
DE,76,251,4.88,,,,,,8
OG,76,305,5.2,30.5,,103.0,8.03,4.71,3
WR,74,219,4.48,,,,,,1
DE,76,277,4.77,,,,,,6
C,74,303,5.0,32.5,37.0,114.0,7.71,4.53,4
WR,73,183,4.39,,,,,,7
S,74,218,4.45,,17.0,,,,1
OLB,73,236,4.94,36.0,14.0,115.0,7.16,4.31,6
CB,70,204,4.53,39.0,,115.0,7.15,4.34,8
DE,75,280,4.77,,,,,,3
WR,73,211,4.73,35.5,,113.0,7.41,4.34,8
OLB,72,237,4.69,33.5,21.0,112.0,7.62,4.08,3
QB,76,199,4.83,,,,,,8
WR,71,188,4.6,,,111.0,7.27,4.33,8
WR,74,211,4.61,38.5,,125.0,7.35,4.29,8
OG,78,298,5.3,,23.0,,,,6
S,75,198,4.5,36.5,14.0,127.0,,,7
C,77,303,5.26,33.5,17.0,106.0,7.62,4.62,4
DT,73,314,5.25,,34.0,,,,1
TE,75,260,4.93,,11.0,,,,8
P,74,221,,,,,,,4
S,72,200,4.56,34.5,12.0,119.0,7.14,,7
ILB,73,250,4.86,36.5,18.0,114.0,7.64,4.56,8
QB,73,211,4.83,33.0,,113.0,7.27,4.4,8
DE,77,255,4.91,41.0,21.0,127.0,7.43,4.43,3
TE,77,252,4.68,,,,,,1
CB,73,202,4.48,40.5,10.0,125.0,6.9,4.12,4
CB,73,198,4.6,41.0,15.0,126.0,6.9,4.2,4
RB,69,223,4.61,,23.0,,,,2
DE,75,280,5.16,36.0,26.0,114.0,7.58,4.43,8
QB,74,215,4.85,37.5,,114.0,7.18,4.15,6
CB,71,178,4.68,35.5,10.0,116.0,7.07,4.18,7
OG,75,300,5.4,26.5,16.0,95.0,7.85,4.69,5
OLB,76,244,4.49,32.0,21.0,120.0,,4.09,3
C,75,290,5.5,29.0,26.0,102.0,7.78,4.54,8
TE,74,253,4.91,38.5,20.0,113.0,7.14,4.4,4
DE,74,284,4.9,34.5,19.0,111.0,7.54,4.43,6
CB,71,186,4.58,42.0,6.0,129.0,7.09,3.85,6
RB,68,194,4.6,32.5,,113.0,7.24,4.3,8
WR,71,191,4.5,36.0,,116.0,7.08,4.18,8
DT,75,295,4.94,,23.0,,,,2
S,72,204,4.64,37.0,14.0,121.0,6.87,4.12,4
OLB,74,245,4.7,,16.0,,,,4
OG,77,315,5.15,33.5,31.0,106.0,,4.74,1
WR,74,195,4.64,,,,,,8
WR,68,167,4.48,41.0,,127.0,7.42,4.11,8
RB,70,210,4.55,,,,,,3
CB,72,197,4.51,38.5,13.0,120.0,,,8
WR,74,204,4.49,43.0,,134.0,,,4
S,71,186,4.5,34.5,9.0,118.0,7.13,4.2,6
QB,73,234,4.82,34.5,,108.0,7.32,4.4,8
DT,77,318,5.19,31.0,33.0,108.0,7.85,4.4,2
OT,76,334,5.31,29.5,31.0,102.0,8.08,4.93,3
CB,69,202,4.67,34.0,11.0,120.0,7.07,4.03,8
WR,69,181,4.61,35.5,,115.0,,,8
TE,77,257,4.9,,,,,,8
WR,73,192,4.57,33.0,,108.0,7.51,4.14,2
RB,70,227,4.57,37.5,24.0,119.0,7.32,4.22,4
OT,75,308,5.01,,31.0,,,,4
OG,77,308,5.07,31.5,20.0,112.0,,4.95,8
RB,70,234,4.57,,24.0,,,,2
CB,72,199,4.54,34.5,,113.0,7.21,4.27,3
WR,72,199,4.42,43.5,,126.0,6.56,3.73,6
OG,76,308,5.24,32.5,28.0,,,,8
DE,77,254,4.93,28.5,20.0,114.0,7.93,4.55,8
CB,70,199,4.46,36.0,15.0,120.0,7.24,4.18,3
WR,70,171,4.44,,,,,,8
WR,72,199,4.61,,,,,,7
WR,71,188,4.37,36.5,,116.0,,,8
DE,75,290,4.87,34.5,25.0,111.0,7.37,4.36,7
DE,75,252,4.97,31.5,22.0,118.0,6.82,4.1,8
FB,71,242,4.59,32.0,,115.0,7.08,4.19,4
P,75,211,,,,,,,5
OG,74,290,5.28,31.5,28.0,111.0,7.59,4.44,5
QB,74,226,4.87,35.5,,106.0,7.33,4.27,8
DT,75,293,4.9,,22.0,,,,1
OG,75,313,5.33,30.0,37.0,105.0,8.0,4.73,5
OT,77,311,5.29,,26.0,,7.84,4.49,2
ILB,72,251,4.77,35.0,22.0,111.0,,,7
DE,77,264,4.88,,15.0,,,,8
TE,76,236,4.75,36.0,24.0,,,,6
CB,72,200,4.45,,,,,,2
