number,value,datetime_start,datetime_complete,duration,params_knn_weight,params_nn_weight,params_rf_weight,params_tabnet_weight,state
90,0.5292598967297762,2025-04-28 23:03:39.419867,2025-04-28 23:03:39.444247,0 days 00:00:00.024380,0.25363233213890957,0.858456018251791,0.7104282554949051,0.11683870147227682,COMPLETE
91,0.5378657487091222,2025-04-28 23:03:39.444494,2025-04-28 23:03:39.468939,0 days 00:00:00.024445,0.1011492826929143,0.9998260948055653,0.6628508062051974,0.5863032872302512,COMPLETE
92,0.5378657487091222,2025-04-28 23:03:39.469283,2025-04-28 23:03:39.494030,0 days 00:00:00.024747,0.1614570894135683,0.9751263389933446,0.5534873319625925,0.6474285981593161,COMPLETE
93,0.5378657487091222,2025-04-28 23:03:39.494261,2025-04-28 23:03:39.518792,0 days 00:00:00.024531,0.019909096814763938,0.9350095657078854,0.6143352110459606,0.5242309717345316,COMPLETE
94,0.5378657487091222,2025-04-28 23:03:39.519013,2025-04-28 23:03:39.543363,0 days 00:00:00.024350,0.05616869876923366,0.9725807812852677,0.49492382935935164,0.6152459004288672,COMPLETE
95,0.5301204819277109,2025-04-28 23:03:39.543603,2025-04-28 23:03:39.568001,0 days 00:00:00.024398,0.7483216645258102,0.9103700932331261,0.4427979416642422,0.6931953824216487,COMPLETE
96,0.5370051635111877,2025-04-28 23:03:39.568248,2025-04-28 23:03:39.592723,0 days 00:00:00.024475,0.07934804873894186,0.9524070343021734,0.5128598467913862,0.47460587180939673,COMPLETE
97,0.5378657487091222,2025-04-28 23:03:39.592973,2025-04-28 23:03:39.617285,0 days 00:00:00.024312,0.13029885222690177,0.9853854036615651,0.7310705752597016,0.5807056356087741,COMPLETE
98,0.5301204819277109,2025-04-28 23:03:39.617537,2025-04-28 23:03:39.641652,0 days 00:00:00.024115,0.6339400978637237,0.8900967955722054,0.37406537360380243,0.71985700694916,COMPLETE
99,0.5378657487091222,2025-04-28 23:03:39.641899,2025-04-28 23:03:39.665932,0 days 00:00:00.024033,0.02226241014155786,0.9291354964272212,0.5910075167254096,0.5010782625544068,COMPLETE
