number,value,datetime_start,datetime_complete,duration,params_batch_size,params_gamma,params_lambda_sparse,params_learning_rate,params_n_a,params_n_d,params_n_steps,state
83,0.5407778047848883,2025-04-28 04:13:37.717569,2025-04-28 04:17:45.006378,0 days 00:04:07.288809,32,1.591117123915981,0.0005839097924964368,0.008724991210760953,62,26,4,COMPLETE
84,0.5377617278377722,2025-04-28 04:17:45.006599,2025-04-28 04:23:13.785333,0 days 00:05:28.778734,32,1.6927564140688451,0.00035388372005920246,0.003299074038243392,63,13,4,COMPLETE
85,0.5235626237022118,2025-04-28 04:23:13.785563,2025-04-28 04:24:04.520910,0 days 00:00:50.735347,256,1.5098155336336214,0.0004707932858781229,0.003896992302644874,58,21,4,COMPLETE
86,0.5326002060256722,2025-04-28 04:24:04.521128,2025-04-28 04:28:55.854565,0 days 00:04:51.333437,32,1.483544902000235,0.0002435005760388638,0.0021793266673363573,46,31,4,COMPLETE
87,0.5379802539440026,2025-04-28 04:28:55.854794,2025-04-28 04:33:01.720832,0 days 00:04:05.866038,32,1.6182089289964783,0.00016278797032278817,0.0029074926793548487,32,24,3,COMPLETE
88,0.5461580841927381,2025-04-28 04:33:01.721099,2025-04-28 04:38:25.869938,0 days 00:05:24.148839,32,1.5426888596734407,0.000565609778455548,0.005406987785414082,63,29,4,COMPLETE
89,0.5319552762248689,2025-04-28 04:38:25.870171,2025-04-28 04:44:21.939004,0 days 00:05:56.068833,32,1.5384831508175394,0.0007194532112661155,0.0016273083679790646,61,29,4,COMPLETE
90,0.5496021852610623,2025-04-28 04:44:21.939228,2025-04-28 04:49:42.487969,0 days 00:05:20.548741,32,1.446031435208993,0.0005789918990634653,0.005065067559360507,52,23,4,COMPLETE
91,0.5431429332036992,2025-04-28 04:49:42.488198,2025-04-28 04:54:44.976471,0 days 00:05:02.488273,32,1.43992885289471,0.0003303944850294322,0.005063826900958226,52,22,4,COMPLETE
92,0.5418516846649768,2025-04-28 04:54:44.976701,2025-04-28 04:59:34.509480,0 days 00:04:49.532779,32,1.4390978784752193,0.00033942956854869324,0.00638145925428366,51,22,4,COMPLETE
93,0.5440050001736172,2025-04-28 04:59:34.509707,2025-04-28 05:04:04.571496,0 days 00:04:30.061789,32,1.4673589966179055,0.0004074290413803596,0.005161764908749237,51,18,4,COMPLETE
94,0.5433621537784877,2025-04-28 05:04:04.571724,2025-04-28 05:09:01.382724,0 days 00:04:56.811000,32,1.463876060095099,0.0005889264212286436,0.008814860334820393,49,18,4,COMPLETE
95,0.5399171267520864,2025-04-28 05:09:01.382958,2025-04-28 05:14:33.566515,0 days 00:05:32.183557,32,1.4119251013951801,0.00039871529715838867,0.005594830475286924,46,15,4,COMPLETE
96,0.5433621537784876,2025-04-28 05:14:33.566740,2025-04-28 05:19:17.789347,0 days 00:04:44.222607,32,1.3576709594727778,0.0004697410490321497,0.004082886390618222,58,24,4,COMPLETE
97,0.4990321423197564,2025-04-28 05:19:17.789578,2025-04-28 05:20:51.499700,0 days 00:01:33.710122,128,1.302767960832945,0.0006393184118647868,0.0004976952711183622,60,19,4,COMPLETE
98,0.5298038126323831,2025-04-28 05:20:51.499914,2025-04-28 05:21:31.748329,0 days 00:00:40.248415,256,1.0159727270030148,0.000283578314055571,0.007483791076013802,44,20,4,COMPLETE
99,0.5450809634593794,2025-04-28 05:21:31.748548,2025-04-28 05:25:25.774141,0 days 00:03:54.025593,32,1.5175412682135978,0.0009309376355894663,0.0034841972353781376,63,26,3,COMPLETE
